isco_code,anzsco_code,anzsco_title,match_quality
2212,253314,Medical Oncologist,exact
2212,253315,Endocrinologist,exact
2212,253316,Gastroenterologist,exact
2212,253317,Intensive Care Specialist,exact
2212,253318,Neurologist,exact
2212,253321,Paediatrician,partial
2212,253322,Renal Medicine Specialist,exact
2212,253323,Rheumatologist,exact
2212,253324,Thoracic Medicine Specialist,exact
2212,253399,Specialist Physicians nec,partial
2212,253411,Psychiatrist,exact
2212,253511,Surgeon (General),exact
2212,253512,Cardiothoracic Surgeon,exact
2212,253513,Neurosurgeon,exact
2212,253514,Orthopaedic Surgeon,exact
2212,253515,Otorhinolaryngologist,exact
2212,253516,Paediatric Surgeon,exact
2212,253517,Plastic and Reconstructive Surgeon,exact
2212,253518,Urologist,exact
2212,253521,Vascular Surgeon,exact
2212,253911,Dermatologist,exact
2212,253912,Emergency Medicine Specialist,exact
2212,253913,Obstetrician and Gynaecologist,exact
2212,253914,Ophthalmologist,exact
2212,253915,Pathologist,partial
2212,253917,Diagnostic and Interventional Radiologist,exact
2212,253918,Radiation Oncologist,exact
2212,253999,Medical Practitioners nec,partial
2221,254211,Nurse Educator,exact
2221,254212,Nurse Researcher,exact
2221,254311,Nurse Manager,partial
2221,254411,Nurse Practitioner,exact
2221,254412,Registered Nurse (Aged Care),exact
2221,254413,Registered Nurse (Child and Family Health),exact
2221,254414,Registered Nurse (Community Health),exact
2221,254415,Registered Nurse (Critical Care and Emergency),exact
2221,254416,Registered Nurse (Developmental Disability),exact
2221,254417,Registered Nurse (Disability and Rehabilitation),partial
2221,254418,Registered Nurse (Medical),exact
2221,254421,Registered Nurse (Medical Practice),exact
2221,254422,Registered Nurse (Mental Health),exact
2221,254423,Registered Nurse (Perioperative),exact
2221,254424,Registered Nurse (Surgical),exact
2221,254425,Registered Nurse (Paediatrics),exact
2221,254499,Registered Nurses nec,partial
2222,251911,Health Promotion Officer,partial
2222,254111,Midwife,exact
2230,251999,Health Diagnostic and Promotion Professionals nec,partial
2230,252211,Acupuncturist,exact
2230,252212,Homoeopath,partial
2230,252213,Naturopath,exact
2230,252214,Traditional Chinese Medicine Practitioner,exact
2230,252215,Traditional Māori Health Practitioner,partial
2230,252299,Complementary Health Therapists nec,partial
2230,272199,Counsellors nec,partial
2230,451513,Herbalist (Western),partial
2240,411112,Intensive Care Ambulance Paramedic (Aus) / Ambulance Paramedic (NZ),partial
2250,234711,Veterinarian,exact
2261,252311,Dental Specialist,exact
2261,252312,Dentist,exact
2262,251511,Hospital Pharmacist,exact
2262,251513,Retail Pharmacist,exact
2263,251311,Environmental Health Officer,partial
2263,251312,Occupational Health and Safety Adviser,partial
2263,272114,Rehabilitation Counsellor,partial
2264,252511,Physiotherapist,exact
2265,251111,Dietitian,exact
2265,251112,Nutritionist,exact
2266,252711,Audiologist,exact
2266,252712,Speech Pathologist \ Speech Language Therapist,exact
2266,311299,Medical Technicians nec,partial
2267,251411,Optometrist,exact
